
MEMORY:  Largest Allocation = 123.868 Mbyte  |  Largest Allocation Without Generic = 123.868 Mbyte

-------------------------- Allocated Memory Blocks---- ( Step        0 )------------------
Task    Nr F                  Variable      MBytes   Cumulative  Function|File|Linenumber
   0     9 1                     first_slab_y_of_task      0.0001      41.9059  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|69
   0    10 1                                        P      0.7292      42.6351  allocate_memory()|src/ngenic/../main/../data/simparticles|278
   0    11 1                                     SphP      0.0001      42.6352  allocate_memory()|src/ngenic/../main/../data/simparticles|279
   0    12 1                  NextActiveParticleHydro      0.0001      42.6353  timebins_allocate()|src/time_integration/timestep.cc|464
   0    13 1                       NextInTimeBinHydro      0.0001      42.6353  timebins_allocate()|src/time_integration/timestep.cc|467
   0    14 1                       PrevInTimeBinHydro      0.0001      42.6354  timebins_allocate()|src/time_integration/timestep.cc|470
   0    15 1                NextActiveParticleGravity      0.0521      42.6875  timebins_allocate()|src/time_integration/timestep.cc|464
   0    16 1                     NextInTimeBinGravity      0.0521      42.7396  timebins_allocate()|src/time_integration/timestep.cc|467
   0    17 1                     PrevInTimeBinGravity      0.0521      42.7917  timebins_allocate()|src/time_integration/timestep.cc|470
   0    18 1                             slab_to_task      0.0010      42.7927  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|45
   0    19 1                         slabs_x_per_task      0.0001      42.7928  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|60
   0    20 1                     first_slab_x_of_task      0.0001      42.7928  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|63
   0    21 1                         slabs_y_per_task      0.0001      42.7929  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|66
   0    22 1                     first_slab_y_of_task      0.0001      42.7930  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|69
   0    23 0                                seedtable      0.2500      43.0430  ngenic_displace_particles()|src/ngenic/ngenic.cc|92
   0    24 0                              Sndpm_count      0.0001      43.0430  ngenic_distribute_particles()|src/ngenic/ngenic.cc|319
   0    25 0                             Sndpm_offset      0.0001      43.0431  ngenic_distribute_particles()|src/ngenic/ngenic.cc|320
   0    26 0                              Rcvpm_count      0.0001      43.0432  ngenic_distribute_particles()|src/ngenic/ngenic.cc|321
   0    27 0                             Rcvpm_offset      0.0001      43.0432  ngenic_distribute_particles()|src/ngenic/ngenic.cc|322
   0    28 0                                   partin      0.1055      43.1487  ngenic_distribute_particles()|src/ngenic/ngenic.cc|425
   0    29 0                                disp_data      0.0938      43.2424  ngenic_displace_particles()|src/ngenic/ngenic.cc|146
   0    30 0                                   d2Phi1     16.1250      59.3674  ngenic_displace_particles()|src/ngenic/ngenic.cc|157
   0    31 0                                   d2Phi1     16.1250      75.4924  ngenic_displace_particles()|src/ngenic/ngenic.cc|157
   0    32 0                                   d2Phi1     16.1250      91.6174  ngenic_displace_particles()|src/ngenic/ngenic.cc|157
   0    33 0                                     disp     16.1250     107.7424  ngenic_displace_particles()|src/ngenic/ngenic.cc|163
   0    34 0                                workspace     16.1250     123.8674  ngenic_get_derivate_from_fourier_field()|src/ngenic/ngenic.cc|667
   0    35 0                                   scount      0.0001     123.8675  my_slab_transpose()|src/pm/pm_mpi_fft.cc|218
   0    36 0                                   rcount      0.0001     123.8676  my_slab_transpose()|src/pm/pm_mpi_fft.cc|219
   0    37 0                                     soff      0.0001     123.8676  my_slab_transpose()|src/pm/pm_mpi_fft.cc|220
   0    38 0                                     roff      0.0001     123.8677  my_slab_transpose()|src/pm/pm_mpi_fft.cc|221
   0    39 0                                   scount      0.0001     123.8677  myMPI_Alltoallv()|src/mpi_utils/myalltoall.cc|193
   0    40 0                                   rcount      0.0001     123.8678  myMPI_Alltoallv()|src/mpi_utils/myalltoall.cc|194
   0    41 0                                     soff      0.0001     123.8679  myMPI_Alltoallv()|src/mpi_utils/myalltoall.cc|195
   0    42 0                                     roff      0.0001     123.8679  myMPI_Alltoallv()|src/mpi_utils/myalltoall.cc|196
------------------------------------------------------------------------------------------

MEMORY:  Largest Allocation = 983.849 Mbyte  |  Largest Allocation Without Generic = 983.849 Mbyte

-------------------------- Allocated Memory Blocks---- ( Step        0 )------------------
Task    Nr F                  Variable      MBytes   Cumulative  Function|File|Linenumber
------------------------------------------------------------------------------------------
   0     0 0             GetGhostRankForSimulCommRank      0.0001       0.0001  mymalloc_init()|src/data/mymalloc.cc|145
   0     1 0               GetShmRankForSimulCommRank      0.0001       0.0001  mymalloc_init()|src/data/mymalloc.cc|146
   0     2 0                GetNodeIDForSimulCommRank      0.0001       0.0002  mymalloc_init()|src/data/mymalloc.cc|147
   0     3 0                        SharedMemBaseAddr      0.0001       0.0002  mymalloc_init()|src/data/mymalloc.cc|161
   0     4 0                                      Ewd     41.9045      41.9047  ewald_init()|src/gravity/ewald.cc|77
   0     5 1                             slab_to_task      0.0010      41.9057  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|45
   0     6 1                         slabs_x_per_task      0.0001      41.9058  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|60
   0     7 1                     first_slab_x_of_task      0.0001      41.9058  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|63
   0     8 1                         slabs_y_per_task      0.0001      41.9059  my_slab_based_fft_init()|src/pm/pm_mpi_fft.cc|66
